INFO 2023-04-25 11:56:07,908 Watching for file changes with StatReloader
INFO 2023-04-25 11:56:13,679 "GET / HTTP/1.1" 302 0
INFO 2023-04-25 11:56:13,760 "GET /accounts/login/?next=/ HTTP/1.1" 200 3989
INFO 2023-04-25 11:56:13,919 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 200 6454
INFO 2023-04-25 11:56:13,921 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 58582
INFO 2023-04-25 11:56:13,925 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 19736
INFO 2023-04-25 11:56:13,926 "GET /static/dist/css/login-page.css HTTP/1.1" 200 9064
INFO 2023-04-25 11:56:13,932 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 200 5253
INFO 2023-04-25 11:56:13,934 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80704
INFO 2023-04-25 11:56:13,935 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 200 13881
INFO 2023-04-25 11:56:13,938 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 200 88147
INFO 2023-04-25 11:56:13,947 "GET /static/dist/js/demo.js HTTP/1.1" 200 13042
INFO 2023-04-25 11:56:13,958 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42395
INFO 2023-04-25 11:56:13,961 "GET /static/dist/js/adminlte.js HTTP/1.1" 200 59416
INFO 2023-04-25 11:56:13,962 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 200 686718
INFO 2023-04-25 11:56:14,305 "GET /static/dist/img/login.png HTTP/1.1" 200 445475
INFO 2023-04-25 11:56:14,445 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79444
WARNING 2023-04-25 11:56:14,604 Not Found: /favicon.ico
WARNING 2023-04-25 11:56:14,605 "GET /favicon.ico HTTP/1.1" 404 6202
INFO 2023-04-25 11:59:31,015 "GET / HTTP/1.1" 302 0
INFO 2023-04-25 11:59:31,081 "GET /accounts/login/?next=/ HTTP/1.1" 200 3989
INFO 2023-04-25 12:07:50,681 Watching for file changes with StatReloader
INFO 2023-04-25 12:07:54,850 "GET / HTTP/1.1" 302 0
INFO 2023-04-25 12:07:54,890 "GET /accounts/login/?next=/ HTTP/1.1" 200 3989
INFO 2023-04-25 12:08:17,605 "POST /accounts/login/ HTTP/1.1" 200 4114
INFO 2023-04-25 12:09:03,839 "POST /accounts/login/ HTTP/1.1" 200 4114
INFO 2023-04-25 12:10:31,918 Watching for file changes with StatReloader
INFO 2023-04-25 12:10:54,956 "GET / HTTP/1.1" 302 0
INFO 2023-04-25 12:10:54,983 "GET /accounts/login/?next=/ HTTP/1.1" 200 3989
INFO 2023-04-25 12:12:05,003 "POST /accounts/login/ HTTP/1.1" 302 0
INFO 2023-04-25 12:12:05,027 "GET / HTTP/1.1" 200 9298
INFO 2023-04-25 12:12:05,156 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 200 25807
INFO 2023-04-25 12:12:05,167 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 200 2042927
INFO 2023-04-25 12:12:05,258 "GET /static/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13584
INFO 2023-04-25 12:13:32,631 "GET /student/list HTTP/1.1" 200 9954
INFO 2023-04-25 12:15:46,725 "GET /class/list/ HTTP/1.1" 200 11979
INFO 2023-04-25 12:15:53,804 "GET /subject/list/ HTTP/1.1" 200 11690
INFO 2023-04-25 12:15:58,384 "GET /result/view/all HTTP/1.1" 200 10295
INFO 2023-04-25 12:16:04,218 "GET /finance/list/ HTTP/1.1" 200 10355
